,name,right_ascension,declination,apparent_magnitude,distance (ly),link,parent_constellation
6331,22 Leonis Minoris,10h 15m 06.36s,+31° 28′ 05.1″,6.47,763,/wiki/22_Leonis_Minoris,Leo Minor
6332,29 Leonis Minoris,10h 25m 45.00s,+35° 25′ 32.1″,6.49,413,/wiki/29_Leonis_Minoris,Leo Minor
6333,16 Leonis Minoris,09h 50m 13.87s,+39° 37′ 54.1″,6.64,1156,/wiki/16_Leonis_Minoris,Leo Minor
6334,HD 93521,10h 48m 23.51s,+37° 34′ 13.1″,7.03,3800,/wiki/HD_93521,Leo Minor
6335,HD 87883,10h 08m 43.14s,+34° 14′ 32.1″,7.56,59,/wiki/HD_87883,Leo Minor
6336,51 Leonis Minoris,11h 05m 15.73s,+25° 12′ 07.4″,7.6,195,/wiki/51_Leonis_Minoris,Leo Minor
6337,HD 82886,09h 35m 45s,+34° 46′ 51″,7.78,408,/wiki/HD_82886,Leo Minor
6349,Alpha Leporis,05h 32m 43.81s,-17° 49′ 20.3″,2.58,1283,/wiki/Alpha_Leporis,Lepus
6350,Beta Leporis,05h 28m 14.73s,-20° 45′ 33.2″,2.81,159,/wiki/Beta_Leporis,Lepus
6351,Epsilon Leporis,05h 05m 27.65s,-22° 22′ 15.1″,3.19,227,/wiki/Epsilon_Leporis,Lepus
6352,Mu Leporis,05h 12m 55.87s,-16° 12′ 19.5″,3.29,184,/wiki/Mu_Leporis,Lepus
6353,Zeta Leporis,05h 46m 57.35s,-14° 49′ 19.0″,3.55,70,/wiki/Zeta_Leporis,Lepus
6354,Gamma Leporis,05h 44m 27.97s,-22° 26′ 51.0″,3.59,29,/wiki/Gamma_Leporis,Lepus
6355,Eta Leporis,05h 56m 24.32s,-14° 10′ 04.9″,3.71,49,/wiki/Eta_Leporis,Lepus
6356,Delta Leporis,05h 51m 19.15s,-20° 52′ 39.0″,3.76,112,/wiki/Delta_Leporis,Lepus
6357,Lambda Leporis,05h 19m 34.53s,-13° 10′ 36.4″,4.29,1076,/wiki/Lambda_Leporis,Lepus
6358,Kappa Leporis,05h 13m 13.89s,-12° 56′ 28.6″,4.36,559,/wiki/Kappa_Leporis,Lepus
6359,Iota Leporis,05h 12m 17.89s,-11° 52′ 08.9″,4.45,241,/wiki/Iota_Leporis,Lepus
6360,Theta Leporis,06h 06m 09.33s,-14° 56′ 07.0″,4.67,170,/wiki/Theta_Leporis,Lepus
6361,HD 34968,05h 20m 26.91s,-21° 14′ 23.1″,4.7,459,/wiki/HD_34968,Lepus
6362,HD 32309,05h 01m 25.56s,-20° 03′ 06.8″,4.91,209,/wiki/HD_32309,Lepus
6363,17 Leporis,06h 04m 59.13s,-16° 29′ 03.9″,4.92,1069,/wiki/17_Leporis,Lepus
6364,HD 32436 (page does not exist),05h 02m 09.77s,-26° 16′ 29.4″,5.01,242,/w/index.php?title=HD_32436&action=edit&redlink=1,Lepus
6365,HD 41312 (page does not exist),06h 03m 15.56s,-26° 17′ 05.1″,5.03,388,/w/index.php?title=HD_41312&action=edit&redlink=1,Lepus
6366,HD 34310 (page does not exist),05h 15m 24.37s,-26° 56′ 36.4″,5.06,272,/w/index.php?title=HD_34310&action=edit&redlink=1,Lepus
6367,HD 35162 (page does not exist),05h 21m 46.27s,-24° 46′ 22.6″,5.06,294,/w/index.php?title=HD_35162&action=edit&redlink=1,Lepus
6368,8 Leporis,05h 23m 30.16s,-13° 55′ 38.5″,5.25,1811,/wiki/8_Leporis,Lepus
6369,19 Leporis,06h 07m 41.63s,-19° 09′ 57.6″,5.28,710,/wiki/19_Leporis,Lepus
6370,Nu Leporis,05h 19m 59.03s,-12° 18′ 56.2″,5.29,332,/wiki/Nu_Leporis,Lepus
6371,HD 41841 (page does not exist),06h 06m 32.10s,-23° 06′ 38.8″,5.46,475,/w/index.php?title=HD_41841&action=edit&redlink=1,Lepus
6372,HD 34538 (page does not exist),05h 17m 40.25s,-13° 31′ 10.9″,5.48,158,/w/index.php?title=HD_34538&action=edit&redlink=1,Lepus
6373,HD 39070 (page does not exist),05h 49m 36.55s,-14° 29′ 00.8″,5.49,310,/w/index.php?title=HD_39070&action=edit&redlink=1,Lepus
6374,HD 42301 (page does not exist),06h 08m 57.87s,-22° 25′ 38.2″,5.49,255,/w/index.php?title=HD_42301&action=edit&redlink=1,Lepus
6375,10 Leporis,05h 31m 07.62s,-20° 51′ 48.8″,5.53,272,/wiki/10_Leporis,Lepus
6376,HD 42341 (page does not exist),06h 09m 34.53s,-14° 35′ 04.9″,5.56,212,/w/index.php?title=HD_42341&action=edit&redlink=1,Lepus
6377,RX Leporis,05h 11m 22.85s,-11° 50′ 57.2″,5.6,447,/wiki/RX_Leporis,Lepus
6378,HD 32667,05h 03m 53.26s,-24° 23′ 17.0″,5.61,196,/wiki/HD_32667,Lepus
6379,HD 39853 (page does not exist),05h 54m 43.59s,-11° 46′ 27.3″,5.62,746,/w/index.php?title=HD_39853&action=edit&redlink=1,Lepus
6380,HD 35505 (page does not exist),05h 24m 28.47s,-16° 58′ 32.7″,5.64,220,/w/index.php?title=HD_35505&action=edit&redlink=1,Lepus
6381,HD 31925 (page does not exist),04h 59m 01.44s,-16° 22′ 34.8″,5.65,141,/w/index.php?title=HD_31925&action=edit&redlink=1,Lepus
6382,HD 32890 (page does not exist),05h 05m 16.19s,-26° 09′ 08.1″,5.71,240,/w/index.php?title=HD_32890&action=edit&redlink=1,Lepus
6383,HD 42443 (page does not exist),06h 09m 47.91s,-22° 46′ 28.2″,5.71,176,/w/index.php?title=HD_42443&action=edit&redlink=1,Lepus
6384,HD 42621 (page does not exist),06h 10m 34.69s,-27° 09′ 15.1″,5.72,331,/w/index.php?title=HD_42621&action=edit&redlink=1,Lepus
6385,HD 38206 (page does not exist),05h 43m 21.66s,-18° 33′ 26.8″,5.73,226,/w/index.php?title=HD_38206&action=edit&redlink=1,Lepus
6386,1 Leporis,05h 02m 44.94s,-22° 47′ 42.3″,5.74,524,/wiki/1_Leporis,Lepus
6387,YY Leporis (page does not exist),06h 06m 57.52s,-21° 48′ 44.2″,5.74,931,/w/index.php?title=YY_Leporis&action=edit&redlink=1,Lepus
6388,HD 35736 (page does not exist),05h 25m 59.82s,-19° 41′ 43.3″,5.78,140,/w/index.php?title=HD_35736&action=edit&redlink=1,Lepus
6389,HD 39190 (page does not exist),05h 49m 53.51s,-22° 58′ 18.9″,5.87,610,/w/index.php?title=HD_39190&action=edit&redlink=1,Lepus
6390,12 Leporis,05h 42m 13.96s,-22° 22′ 25.5″,5.88,765,/wiki/12_Leporis,Lepus
6391,HD 40151 (page does not exist),05h 56m 14.20s,-22° 50′ 24.2″,5.95,292,/w/index.php?title=HD_40151&action=edit&redlink=1,Lepus
6392,HD 34721 (page does not exist),05h 18m 50.24s,-18° 07′ 48.7″,5.96,81,/w/index.php?title=HD_34721&action=edit&redlink=1,Lepus
6393,HD 33093 (page does not exist),05h 07m 24.88s,-12° 29′ 27.6″,5.97,118,/w/index.php?title=HD_33093&action=edit&redlink=1,Lepus
6394,HD 32996 (page does not exist),05h 06m 36.73s,-13° 07′ 21.6″,6.04,363,/w/index.php?title=HD_32996&action=edit&redlink=1,Lepus
6395,HD 40972 (page does not exist),06h 01m 13.11s,-25° 25′ 03.8″,6.04,363,/w/index.php?title=HD_40972&action=edit&redlink=1,Lepus
6396,HD 35991 (page does not exist),05h 27m 36.49s,-21° 22′ 32.8″,6.08,380,/w/index.php?title=HD_35991&action=edit&redlink=1,Lepus
6397,HD 42729 (page does not exist),06h 11m 13.66s,-26° 28′ 55.6″,6.08,675,/w/index.php?title=HD_42729&action=edit&redlink=1,Lepus
6398,HD 37306 (page does not exist),05h 37m 08.76s,-11° 46′ 31.7″,6.1,215,/w/index.php?title=HD_37306&action=edit&redlink=1,Lepus
6399,HD 38054 (page does not exist),05h 42m 14.49s,-17° 31′ 49.4″,6.15,597,/w/index.php?title=HD_38054&action=edit&redlink=1,Lepus
6400,HD 38392,05h 44m 26.50s,-22° 25′ 18.0″,6.15,,/wiki/HD_38392,Lepus
6401,HD 39385 (page does not exist),05h 51m 28.62s,-22° 55′ 36.6″,6.16,443,/w/index.php?title=HD_39385&action=edit&redlink=1,Lepus
6402,HD 38713 (page does not exist),05h 47m 07.81s,-16° 14′ 17.0″,6.18,664,/w/index.php?title=HD_38713&action=edit&redlink=1,Lepus
6403,HD 41125 (page does not exist),06h 02m 33.81s,-14° 29′ 49.9″,6.2,434,/w/index.php?title=HD_41125&action=edit&redlink=1,Lepus
6404,HD 40745 (page does not exist),06h 00m 17.66s,-12° 53′ 59.7″,6.21,195,/w/index.php?title=HD_40745&action=edit&redlink=1,Lepus
6405,HD 34045 (page does not exist),05h 13m 59.94s,-14° 36′ 24.7″,6.22,245,/w/index.php?title=HD_34045&action=edit&redlink=1,Lepus
6406,HD 37971 (page does not exist),05h 41m 41.51s,-16° 43′ 33.0″,6.22,1221,/w/index.php?title=HD_37971&action=edit&redlink=1,Lepus
6407,HD 42486 (page does not exist),06h 09m 47.16s,-26° 42′ 04.0″,6.27,435,/w/index.php?title=HD_42486&action=edit&redlink=1,Lepus
6408,HD 35850,05h 27m 04.75s,-11° 54′ 03.0″,6.3,87,/wiki/HD_35850,Lepus
6409,HD 33162 (page does not exist),05h 07m 49.82s,-12° 35′ 32.8″,6.33,763,/w/index.php?title=HD_33162&action=edit&redlink=1,Lepus
6410,HD 38382 (page does not exist),05h 44m 28.41s,-20° 07′ 36.0″,6.34,83,/w/index.php?title=HD_38382&action=edit&redlink=1,Lepus
6411,HD 42327 (page does not exist),06h 09m 20.20s,-18° 07′ 34.8″,6.36,410,/w/index.php?title=HD_42327&action=edit&redlink=1,Lepus
6412,HD 34798 (page does not exist),05h 19m 17.44s,-18° 31′ 11.8″,6.37,791,/w/index.php?title=HD_34798&action=edit&redlink=1,Lepus
6413,HD 40235 (page does not exist),05h 56m 34.43s,-23° 12′ 55.4″,6.37,499,/w/index.php?title=HD_40235&action=edit&redlink=1,Lepus
6414,HD 33238 (page does not exist),05h 08m 13.26s,-15° 05′ 43.3″,6.38,710,/w/index.php?title=HD_33238&action=edit&redlink=1,Lepus
6415,HD 33667 (page does not exist),05h 10m 44.59s,-25° 54′ 37.9″,6.4,724,/w/index.php?title=HD_33667&action=edit&redlink=1,Lepus
6416,HD 37643 (page does not exist),05h 39m 16.23s,-17° 50′ 57.9″,6.4,1304,/w/index.php?title=HD_37643&action=edit&redlink=1,Lepus
6417,HD 32612 (page does not exist),05h 03m 52.12s,-14° 22′ 12.9″,6.42,1320,/w/index.php?title=HD_32612&action=edit&redlink=1,Lepus
6418,HD 34318 (page does not exist),05h 16m 10.56s,-11° 21′ 09.2″,6.45,838,/w/index.php?title=HD_34318&action=edit&redlink=1,Lepus
6419,HD 33095 (page does not exist),05h 07m 09.78s,-19° 23′ 33.1″,6.47,123,/w/index.php?title=HD_33095&action=edit&redlink=1,Lepus
6420,HD 35137 (page does not exist),05h 21m 55.31s,-17° 36′ 13.1″,6.47,461,/w/index.php?title=HD_35137&action=edit&redlink=1,Lepus
6421,HD 35386 (page does not exist),05h 23m 11.98s,-26° 42′ 19.8″,6.49,171,/w/index.php?title=HD_35386&action=edit&redlink=1,Lepus
6422,HD 34797 (page does not exist),05h 19m 18.31s,-18° 30′ 34.4″,6.54,799,/w/index.php?title=HD_34797&action=edit&redlink=1,Lepus
6423,S Leporis (page does not exist),06h 05m 45.54s,-24° 11′ 43.9″,6.74,898,/w/index.php?title=S_Leporis&action=edit&redlink=1,Lepus
6424,HD 42659 (page does not exist),06h 11m 21.75s,-15° 47′ 35.0″,6.77,429,/w/index.php?title=HD_42659&action=edit&redlink=1,Lepus
6425,4 Monocerotis,06h 08m 25.39s,-11° 08′ 46.6″,6.9,342,/wiki/4_Monocerotis,Lepus
6426,HD 37847 (page does not exist),05h 40m 39.72s,-20° 17′ 55.6″,7.0,720,/w/index.php?title=HD_37847&action=edit&redlink=1,Lepus
6427,HD 33844 (page does not exist),05h 12m 36.08s,-14° 57′ 04.27″,7.3,329,/w/index.php?title=HD_33844&action=edit&redlink=1,Lepus
6428,T Leporis,05h 04m 50.85s,-21° 54′ 16.5″,7.4,2670,/wiki/T_Leporis,Lepus
6429,HD 31527,04h 55m 38s,-23° 14′ 31″,7.48,126,/wiki/HD_31527,Lepus
6430,R Leporis,04h 59m 36.50s,-14° 48′ 21.0″,7.71,1350,/wiki/R_Leporis,Lepus
6440,Beta Librae,15h 17m 00.47s,-09° 22′ 58.3″,2.61,160,/wiki/Beta_Librae,Libra
6441,Alpha Librae,14h 50m 52.78s,-16° 02′ 29.8″,2.75,77,/wiki/Alpha_Librae,Libra
6442,Sigma Librae,15h 04m 04.26s,-25° 16′ 54.7″,3.25,292,/wiki/Sigma_Librae,Libra
6443,Upsilon Librae,15h 37m 01.46s,-28° 08′ 06.3″,3.6,195,/wiki/Upsilon_Librae,Libra
6444,Tau Librae,15h 38m 39.38s,-29° 46′ 39.7″,3.66,445,/wiki/Tau_Librae,Libra
6445,Gamma Librae,15h 35m 31.54s,-14° 47′ 22.4″,3.91,152,/wiki/Gamma_Librae,Libra
6446,Theta Librae,15h 53m 49.48s,-16° 43′ 46.6″,4.13,163,/wiki/Theta_Librae,Libra
6447,16 Librae,14h 57m 11.06s,-04° 20′ 45.9″,4.47,91,/wiki/16_Librae,Libra
6448,Iota1 Librae,15h 12m 13.31s,-19° 47′ 29.9″,4.54,376,/wiki/Iota1_Librae,Libra
6449,37 Librae,15h 34m 10.52s,-10° 03′ 50.3″,4.61,94,/wiki/37_Librae,Libra
6450,Kappa Librae,15h 41m 56.82s,-19° 40′ 42.9″,4.75,400,/wiki/Kappa_Librae,Libra
6451,Delta Librae,15h 00m 58.39s,-08° 31′ 08.2″,4.91,304,/wiki/Delta_Librae,Libra
6452,Epsilon Librae,15h 24m 11.93s,-10° 19′ 18.8″,4.92,106,/wiki/Epsilon_Librae,Libra
6453,11 Librae,14h 51m 01.02s,-02° 17′ 55.9″,4.93,216,/wiki/11_Librae,Libra
6454,48 Librae,15h 58m 11.38s,-14° 16′ 45.5″,4.95,513,/wiki/48_Librae,Libra
6455,42 Librae,15h 40m 16.91s,-23° 49′ 05.0″,4.97,381,/wiki/42_Librae,Libra
6456,Lambda Librae,15h 53m 20.06s,-20° 10′ 01.2″,5.03,356,/wiki/Lambda_Librae,Libra
6457,Unnamed Star,15h 34m 37.31s,-28° 02′ 48.9″,5.13,369,,Libra
6458,Alpha Librae,14h 50m 41.26s,-15° 59′ 49.5″,5.15,77,/wiki/Alpha_Librae,Libra
6459,Unnamed Star,15h 34m 26.53s,-09° 11′ 00.1″,5.16,351,/wiki/Slowly_pulsating_B_star,Libra
6460,Unnamed Star,15h 06m 37.62s,-16° 15′ 24.3″,5.19,765,,Libra
6461,Unnamed Star,14h 54m 20.14s,-24° 38′ 31.7″,5.27,384,,Libra
6462,Mu Librae,14h 49m 19.09s,-14° 08′ 56.3″,5.32,235,/wiki/Mu_Librae,Libra
6463,Unnamed Star,14h 24m 48.66s,-24° 48′ 22.6″,5.34,400,,Libra
6464,Unnamed Star,15h 38m 54.51s,-19° 18′ 06.2″,5.36,340,,Libra
6465,Unnamed Star,15h 44m 04.42s,-15° 40′ 21.6″,5.41,147,,Libra
6466,49 Librae,16h 00m 19.98s,-16° 31′ 56.6″,5.47,107,/wiki/49_Librae,Libra
6467,Unnamed Star,14h 56m 46.11s,-11° 24′ 35.0″,5.48,538,,Libra
6468,Unnamed Star,15h 32m 36.71s,-19° 40′ 13.3″,5.5,227,,Libra
6469,Unnamed Star,15h 01m 19.81s,-02° 45′ 17.5″,5.52,564,,Libra
6470,Unnamed Star,15h 16m 23.03s,-22° 23′ 57.9″,5.52,500,,Libra
6471,Unnamed Star,15h 32m 55.23s,-16° 51′ 10.1″,5.53,769,,Libra
6472,Unnamed Star,15h 48m 56.81s,-03° 49′ 06.7″,5.53,160,,Libra
6473,Unnamed Star,16h 00m 47.64s,-08° 24′ 40.8″,5.53,459,,Libra
6474,Unnamed Star,15h 21m 07.64s,-05° 49′ 29.4″,5.54,269,,Libra
6475,Unnamed Star,15h 28m 15.40s,-16° 42′ 59.1″,5.64,908,/wiki/Venus,Libra
6476,Unnamed Star,14h 49m 18.76s,-24° 15′ 05.3″,5.68,1113,,Libra
6477,Unnamed Star,14h 43m 13.57s,-24° 59′ 51.8″,5.7,409,,Libra
6478,Gliese 570,14h 57m 27.35s,-21° 24′ 55.7″,5.72,19,/wiki/Gliese_570,Libra
6479,Unnamed Star,15h 23m 52.26s,-12° 22′ 09.9″,5.72,603,,Libra
6480,Unnamed Star,15h 10m 18.65s,-26° 19′ 57.4″,5.75,450,,Libra
6481,Unnamed Star,14h 54m 22.91s,-11° 53′ 54.0″,5.78,365,,Libra
6482,Unnamed Star,15h 37m 48.06s,-23° 08′ 29.5″,5.79,272,,Libra
6483,Unnamed Star,14h 46m 06.75s,-23° 09′ 10.3″,5.8,366,,Libra
6484,Unnamed Star,15h 30m 40.39s,-16° 36′ 34.0″,5.82,564,,Libra
6485,Unnamed Star,15h 38m 16.24s,-21° 00′ 58.2″,5.82,292,,Libra
6486,Unnamed Star,15h 13m 53.32s,-26° 11′ 36.8″,5.84,918,,Libra
6487,Unnamed Star,14h 58m 53.64s,-11° 08′ 37.9″,5.88,316,,Libra
6488,Unnamed Star,15h 55m 00.37s,-19° 22′ 58.4″,5.95,623,,Libra
6489,Unnamed Star,14h 47m 13.66s,-21° 19′ 29.6″,6.05,1863,,Libra
6490,Unnamed Star,15h 13m 19.22s,-19° 38′ 50.8″,6.07,219,,Libra
6491,Unnamed Star,14h 58m 52.99s,-04° 59′ 20.4″,6.08,114,,Libra
6492,Unnamed Star,15h 56m 33.33s,-14° 49′ 45.7″,6.12,173,/wiki/Delta_Scuti_variable,Libra
6493,Unnamed Star,15h 06m 27.10s,-22° 01′ 54.1″,6.13,195,,Libra
6494,Unnamed Star,15h 21m 01.36s,-15° 32′ 54.2″,6.14,178,,Libra
6495,Unnamed Star,14h 48m 54.10s,-00° 50′ 51.7″,6.15,353,,Libra
6496,Unnamed Star,15h 20m 53.68s,-18° 09′ 30.6″,6.16,631,,Libra
6497,Unnamed Star,15h 14m 33.77s,-17° 46′ 06.7″,6.18,1283,,Libra
6498,Unnamed Star,15h 37m 28.51s,-26° 16′ 47.3″,6.19,600,,Libra
6499,HD 128429,14h 36m 59.80s,-12° 18′ 19.1″,6.2,88,/wiki/HD_128429,Libra
6500,Unnamed Star,15h 30m 36.25s,-20° 43′ 42.5″,6.2,234,,Libra
6501,Unnamed Star,15h 51m 38.41s,-14° 08′ 00.8″,6.2,692,,Libra
6502,Unnamed Star,14h 23m 25.63s,-11° 42′ 50.0″,6.22,330,,Libra
6503,Unnamed Star,15h 46m 45.43s,-06° 07′ 13.3″,6.24,937,,Libra
6504,Unnamed Star,15h 33m 09.53s,-24° 29′ 25.2″,6.26,331,,Libra
6505,Unnamed Star,14h 51m 51.31s,-18° 21′ 19.2″,6.27,913,,Libra
6506,Unnamed Star,15h 14m 50.61s,-05° 30′ 09.3″,6.28,911,,Libra
6507,Unnamed Star,15h 31m 43.45s,-20° 09′ 53.4″,6.28,239,,Libra
6508,Unnamed Star,15h 43m 24.86s,-15° 02′ 34.8″,6.3,411,,Libra
6509,Unnamed Star,15h 38m 15.80s,-28° 12′ 23.8″,6.32,562,,Libra
6510,Unnamed Star,15h 56m 14.41s,-14° 23′ 57.2″,6.32,208,,Libra
6511,Unnamed Star,14h 45m 57.78s,-15° 27′ 34.4″,6.33,1109,,Libra
6512,Unnamed Star,15h 39m 21.39s,-23° 09′ 00.6″,6.33,306,,Libra
6513,Unnamed Star,14h 47m 54.92s,-12° 50′ 23.2″,6.34,361,,Libra
6514,Unnamed Star,15h 02m 08.59s,-07° 34′ 31.1″,6.38,580,,Libra
6515,Unnamed Star,15h 06m 49.10s,-16° 29′ 03.6″,6.41,413,,Libra
6516,Unnamed Star,14h 46m 10.92s,-21° 10′ 32.6″,6.43,138,,Libra
6517,Unnamed Star,15h 28m 58.69s,-28° 52′ 00.5″,6.43,198,,Libra
6518,23 Librae,15h 13m 28.93s,-25° 18′ 33.0″,6.45,84,/wiki/23_Librae,Libra
6519,Unnamed Star,15h 38m 40.07s,-08° 47′ 29.1″,6.45,81,,Libra
6520,Unnamed Star,15h 23m 01.78s,-15° 08′ 02.7″,6.46,780,,Libra
6521,Unnamed Star,15h 13m 17.43s,-24° 00′ 29.8″,6.47,412,,Libra
6522,Unnamed Star,14h 24m 40.90s,-11° 40′ 10.7″,6.49,293,,Libra
6523,Unnamed Star,14h 25m 17.63s,-13° 21′ 11.4″,6.49,520,,Libra
6524,Unnamed Star,14h 34m 50.72s,-20° 26′ 21.8″,6.49,613,,Libra
6525,Unnamed Star,15h 12m 12.04s,-19° 06′ 23.1″,6.49,555,,Libra
6526,Unnamed Star,15h 46m 12.89s,-28° 03′ 41.1″,6.49,222,,Libra
6527,Unnamed Star,15h 22m 45.19s,-29° 20′ 30.9″,6.5,443,,Libra
6528,HD 133112,15h 02m 44.9s,-03° 01′ 53″,6.6,323,/wiki/HD_133112,Libra
6529,Unnamed Star,14h 58m 13.42s,-11° 09′ 17.1″,6.61,376,,Libra
6530,33 Librae,15h 29m 34.78s,-17° 26′ 27.4″,6.69,291,/wiki/33_Librae,Libra
6531,HD 141569,15h 49m 57.75s,-03° 55′ 16.3″,7.12,379,/wiki/HD_141569,Libra
6532,Unnamed Star,14h 39m 22.01s,-25° 01′ 43.0″,7.2,663,,Libra
6533,HD 140283,15h 43m 03.10s,-10° 56′ 00.6″,7.21,190,/wiki/HD_140283,Libra
6534,Unnamed Star,14h 57m 46.55s,-12° 26′ 15.3″,7.23,1310,,Libra
6535,Alpha Librae,14h 40m 31.11s,-16° 12′ 33.4″,7.23,77,/wiki/Alpha_Librae,Libra
6536,Unnamed Star,15h 16m 48.61s,-13° 02′ 21.1″,7.25,378,/wiki/Beta_Lyrae_variable,Libra
6537,HD 141937,15h 52m 17.55s,-18° 26′ 09.8″,7.25,109,/wiki/HD_141937,Libra
6538,Unnamed Star,15h 12m 20.95s,-16° 24′ 39.86″,7.28,,,Libra
6539,Unnamed Star,15h 23m 26.06s,-06° 36′ 37.8″,7.31,378,,Libra
6540,Unnamed Star,15h 09m 02.41s,-13° 59′ 58.7″,7.48,335,,Libra
6541,Unnamed Star,15h 27m 48.32s,-25° 10′ 10.1″,7.54,1940,/wiki/PV_Telescopii_variable,Libra
6542,Unnamed Star,15h 11m 51.55s,-16° 36′ 40.16″,7.7,,,Libra
6560,Alpha Lupi,14h 41m 55.77s,-47° 23′ 17.3″,2.3,548,/wiki/Alpha_Lupi,Lupus
6561,Beta Lupi,14h 58m 31.95s,-43° 08′ 01.9″,2.68,523,/wiki/Beta_Lupi,Lupus
6562,Gamma Lupi,15h 35m 08.46s,-41° 10′ 00.1″,2.8,567,/wiki/Gamma_Lupi,Lupus
6563,Delta Lupi,15h 21m 22.34s,-40° 38′ 50.9″,3.22,510,/wiki/Delta_Lupi,Lupus
6564,Epsilon Lupi,15h 22m 40.89s,-44° 41′ 22.5″,3.37,504,/wiki/Epsilon_Lupi,Lupus
6565,Zeta Lupi,15h 12m 17.20s,-52° 05′ 56.7″,3.41,116,/wiki/Zeta_Lupi,Lupus
6566,Eta Lupi,16h 00m 07.34s,-38° 23′ 47.9″,3.42,493,/wiki/Eta_Lupi,Lupus
6567,Iota Lupi,14h 19m 24.23s,-46° 03′ 29.1″,3.55,352,/wiki/Iota_Lupi,Lupus
6568,Phi1 Lupi,15h 21m 48.44s,-36° 15′ 40.2″,3.57,326,/wiki/Phi1_Lupi,Lupus
6569,Kappa1 Lupi,15h 11m 56.16s,-48° 44′ 15.7″,3.88,182,/wiki/Kappa1_Lupi,Lupus
6570,Pi Lupi,15h 05m 07.11s,-47° 03′ 04.3″,3.91,497,/wiki/Pi_Lupi,Lupus
6571,Chi Lupi,15h 50m 57.54s,-33° 37′ 37.6″,3.97,206,/wiki/Chi_Lupi,Lupus
6572,Rho Lupi,14h 37m 53.25s,-49° 25′ 32.7″,4.05,310,/wiki/Rho_Lupi,Lupus
6573,Lambda Lupi,15h 08m 50.63s,-45° 16′ 47.3″,4.07,406,/wiki/Lambda_Lupi,Lupus
6574,Theta Lupi,16h 06m 35.56s,-36° 48′ 08.0″,4.22,411,/wiki/Theta_Lupi,Lupus
6575,Mu Lupi,15h 18m 32.05s,-47° 52′ 30.7″,4.27,291,/wiki/Mu_Lupi,Lupus
6576,Omicron Lupi,14h 51m 38.32s,-43° 34′ 31.1″,4.32,408,/wiki/Omicron_Lupi,Lupus
6577,Tau2 Lupi,14h 26m 10.80s,-45° 22′ 45.3″,4.33,314,/wiki/Tau2_Lupi,Lupus
6578,Omega Lupi,15h 38m 03.32s,-42° 34′ 02.9″,4.34,230,/wiki/Omega_Lupi,Lupus
6579,2 Lupi,15h 17m 49.84s,-30° 08′ 55.2″,4.35,308,/wiki/2_Lupi,Lupus
6580,Sigma Lupi,14h 32m 37.08s,-50° 27′ 25.6″,4.44,574,/wiki/Sigma_Lupi,Lupus
6581,Phi2 Lupi,15h 23m 09.36s,-36° 51′ 30.4″,4.54,606,/wiki/Phi2_Lupi,Lupus
6582,KT Lupi,15h 35m 53.27s,-44° 57′ 30.0″,4.55,434,/wiki/KT_Lupi,Lupus
6583,Tau1 Lupi,14h 26m 08.24s,-45° 13′ 17.0″,4.56,1035,/wiki/Tau1_Lupi,Lupus
6584,HD 137058,15h 25m 20.25s,-38° 44′ 00.9″,4.6,374,/wiki/HD_137058,Lupus
6585,HD 139664,15h 41m 11.52s,-44° 39′ 38.0″,4.64,57,/wiki/HD_139664,Lupus
6586,Psi1 Lupi,15h 39m 45.97s,-34° 24′ 42.8″,4.66,245,/wiki/Psi1_Lupi,Lupus
6587,Psi2 Lupi,15h 42m 41.04s,-34° 42′ 37.2″,4.75,396,/wiki/Psi2_Lupi,Lupus
6588,HD 125442,14h 20m 42.55s,-45° 11′ 12.8″,4.78,149,/wiki/HD_125442,Lupus
6589,HD 134687,15h 12m 49.60s,-44° 30′ 01.3″,4.83,454,/wiki/HD_134687,Lupus
6590,HD 143699,16h 03m 24.20s,-38° 36′ 08.9″,4.9,527,/wiki/HD_143699,Lupus
6591,1 Lupi,15h 14m 37.33s,-31° 31′ 08.9″,4.91,1140,/wiki/1_Lupi,Lupus
6592,Nu1 Lupi,15h 22m 08.39s,-47° 55′ 38.9″,4.99,111,/wiki/Nu1_Lupi,Lupus
6593,HD 143009,15h 59m 30.30s,-41° 44′ 39.8″,4.99,380,/wiki/HD_143009,Lupus
6594,HD 133340 (page does not exist),15h 05m 19.15s,-41° 04′ 02.0″,5.13,367,/w/index.php?title=HD_133340&action=edit&redlink=1,Lupus
6595,Xi1 Lupi,15h 56m 53.48s,-33° 57′ 57.7″,5.14,199,/wiki/Xi1_Lupi,Lupus
6596,HD 135345 (page does not exist),15h 16m 04.03s,-41° 29′ 28.1″,5.15,1283,/w/index.php?title=HD_135345&action=edit&redlink=1,Lupus
6597,HD 129893 (page does not exist),14h 47m 01.31s,-52° 22′ 59.9″,5.22,259,/w/index.php?title=HD_129893&action=edit&redlink=1,Lupus
6598,HD 139980 (page does not exist),15h 42m 38.35s,-37° 25′ 29.6″,5.23,271,/w/index.php?title=HD_139980&action=edit&redlink=1,Lupus
6599,HD 137709 (page does not exist),15h 29m 24.28s,-46° 43′ 57.7″,5.26,886,/w/index.php?title=HD_137709&action=edit&redlink=1,Lupus
6600,Upsilon Lupi,15h 24m 45.03s,-39° 42′ 36.5″,5.36,384,/wiki/Upsilon_Lupi,Lupus
